AFF_LOVE_POINT	Love points: %d%%
BANK_TITLE_LOGS_HOUR	#Time	
BANK_TITLE_LOGS_IP	#Ip	
BANK_TITLE_LOGS_TARGET	#De || #For	
BANK_TITLE_NAME	Bank System - [i] Ultimos 1025 records	
BANK_TOOLTIP_BTN_ADD	1.11e+121	
BANK_TOOLTIP_BTN_CHANGE	Change Bank Password	
BANK_TOOLTIP_BTN_SEND	Send Yang to a player	
BANK_TOOLTIP_BTN_WITHDRAW	Remove Yang	
BANK_TYPE_AMOUNT	Amount:	
BANK_WITHDRAW_TITLE	Bank: Remove Yang	
BANK_WRONG_ID	Incorrect access name	
BANK_WRONG_PW	Incorrect password	
BATTLEPASS_ALREADY_GET_REWARD	Bu ödülü zaten talep ettiniz!
BATTLEPASS_DEACTIVE_TEXT_1	Bunu yapabilmek için "Battle Pass" satýn almanýz gerekir.
BATTLEPASS_DEACTIVE_TEXT_2	görevleri tamamlayýn ve ödülleri alýn.
BATTLEPASS_DESCRIPTION	Açýklama
BATTLEPASS_INFORMATION	Bilgileri
BATTLEPASS_INFORMATION_EX	Geçiþ Bilgileri
BATTLEPASS_REWARD_INFO	Tüm görevleri tamamlamanýz gerekiyor!
BATTLEPASS_TIME_FORMAT	%2d Gün %2dh %2dm %2ds
BATTLEPASS_TITLE	[F6] Savaþ Bileti
BATTLEPASS_TOTAL_PROGRESS	Toplam Ýlerleme
BATTLE_PASS_MISSION_STATUS	Durum:
BATTLE_POINT	Savaþ Puanlarý
BERANSETAOU	Mavi Ejderha
BIO_CAN_GIVE_ITEM	Artýk bir sonraki öðeyi verebilirsiniz!
BIO_CHOOSE_GIFT	Bir bonus seçin:
BIO_DONT_HAVE_MISSION	Kullanýlabilir göreviniz yok.
BIO_EMPTY_BONUS	Herhangi bir bonusu yoktur.
BIO_FIND_STONE	Görev taþýný bulun!
BIO_GIFT	Ödül
BIO_GIVE_MISSION	Ver
BIO_MISSION_TITLE	Düzey %d: %s
BIO_NEED_LEVEL	Seviyeniz çok düþük. Gerekli seviye: %d
BIO_TIME_TEXT	%d D %d H %d Min. %d Sn.
BIO_TITLE	Biyolog
BLUE_KINGDOM	|cFF8CADDBJinno:|h|r
BONUS_END_IN	Bitiþ tarihi: %s
BONUS_EVENT	Bonusu:
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Sonraki Etkinlik
BONUS_START_IN	Baþlýyor: %s
BONUS_TABLE_1	Jinno Oyuncularý
BONUS_TABLE_2	Shinsoo Oyuncusu
BONUS_TABLE_3	Chunjo Oyuncularý
BONUS_TABLE_4	Oyuncu
BONUS_TABLE_5	Kazanýlan düellolar
BONUS_TABLE_6	Kayýp Düellolar
BONUS_TABLE_7	Canavar Öldürüldü
BONUS_TABLE_8	Boss Yenildi
BONUS_TABLE_9	Metinler Yok Edildi
BONUS_TABLE_TITLE_1	PVM Nitelikleri
BONUS_TABLE_TITLE_2	PVP Nitelikleri
BONUS_TABLE_TITLE_3	Saldýrgan Nitelikler
BONUS_TABLE_TITLE_4	Defansif Nitelikler
CANCEL	Ýptal
CANNOT_ATTACK_DEST_IN_SAFE	Savaþan kiþi çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramýyorum.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken ekipman deðiþtiremezsiniz.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken ekipman deðiþtiremezsiniz.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramýyorum.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir çubuða ihtiyacým var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu yeteneði bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu yalnýzca grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi bir çubukla kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendimde kullanamam.
CANNOT_SKILL_WAIT_COOLTIME	Bu beceriyi henüz kullanamýyorum.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CATACUMB	Yeraltý Mezarlarý
CATEGORY_0_NAME	All Offers	
CATEGORY_0_SUB_0_NAME	Battle pass
CATEGORY_0_SUB_1_NAME	Perso packs
CATEGORY_1_NAME	Daily Usable	
CATEGORY_2_NAME	Cosmetics	
CATEGORY_2_SUB_0_NAME	Weapons Skins	
CATEGORY_2_SUB_1_NAME	Body Costume	
CATEGORY_2_SUB_2_NAME	Hairstyles	
CATEGORY_2_SUB_3_NAME	Sash Skin	
CATEGORY_2_SUB_4_NAME	Mount Skin
CATEGORY_3_NAME	Pets and mounts	
CATEGORY_3_SUB_0_NAME	Mounts	
CATEGORY_3_SUB_1_NAME	Leveable pets	
CATEGORY_3_SUB_2_NAME	Normal pets	
CATEGORY_4_NAME	Vouchers	
CATEGORY_5_NAME	Reinforce Costume	
CATEGORY_5_SUB_0_NAME	Weapon Skin	
CATEGORY_5_SUB_1_NAME	Body Costume	
CATEGORY_5_SUB_2_NAME	Hairstyles	
CATEGORY_5_SUB_3_NAME	Mount Skin	
CATEGORY_5_SUB_4_NAME	Sash Skin
CATEGORY_6_NAME	Premium Packages	
CATEGORY_7_NAME	Rings
CHANNEL	Kanal
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATE_FULL	Dolu
CHANNEL_STATE_MED	Aracý
CHANNEL_STATE_NORMAL	Normal
CHANNEL_STATE_OFF	....
CHARACTER_ASSASSIN	Ninja
CHARACTER_CREATE_APPEARANCE1	Stil 1
CHARACTER_CREATE_APPEARANCE2	Stil 2
CHARACTER_CREATE_FEMALE	Kadýn
CHARACTER_CREATE_MALE	Erkek
CHARACTER_CREATE_MODE	Karakter Oluþtur
CHARACTER_NAME	Adý
CHARACTER_SELECT_MODE	Sunucu seç
CHARACTER_SHAMAN	Þaman
CHARACTER_SURA	Sura
CHARACTER_WARRIOR	Savaþçý
CHATTING_SETTING_ADD	Sekme ekle
CHATTING_SETTING_ADD_MAX	Daha fazla ekleyemezsin.
CHATTING_SETTING_CANCLE	Ýptal
CHATTING_SETTING_CANT_CHANGE_TITLE	Bu sohbet adini kullanamazsiniz.
CHATTING_SETTING_CHANGE_TITLE_NAME	Bu sohbetin adýný kaydetmek istiyor musunuz?
CHATTING_SETTING_CHANGE_TITLE_NOT	Genel sohbet adý deðiþtirilemez.
CHATTING_SETTING_CLEAR	Sýfýrla
CHATTING_SETTING_CLEAR_QUESTION	Seçenekleri sýfýrlamak istiyor musunuz?
CHATTING_SETTING_DEL	Sekmeyi Sil
CHATTING_SETTING_DETAIL	Sohbet Seçenekleri
CHATTING_SETTING_DICE	Diyor
CHATTING_SETTING_DICE_SETTING	Zar Seçenekleri
CHATTING_SETTING_EXP	Deneyimi
CHATTING_SETTING_GOLD	Altýn Alýndý
CHATTING_SETTING_GUILD	Loncasý
CHATTING_SETTING_ITEM	Alýnan Nesneler
CHATTING_SETTING_LANGUAGE	Dil %d
CHATTING_SETTING_LANGUAGE_CUR	Mevcut dil: ( %s)
CHATTING_SETTING_LANGUAGE_OFF	Off	
CHATTING_SETTING_LANGUAGE_ON	ON	
CHATTING_SETTING_LANGUAGE_ONOFF	Filtresi
CHATTING_SETTING_LIST	hazir
CHATTING_SETTING_NOTICE	Mesajý
CHATTING_SETTING_PARTY	Grubu
CHATTING_SETTING_SAVE	Kaydet
CHATTING_SETTING_SAVE_QUESTION	Aþaðýdaki %s deðiþikliðini kaydetmek istiyor musunuz?
CHATTING_SETTING_SHOUT	Küresel Sohbet
CHATTING_SETTING_SYSTEM	Sistemi
CHATTING_SETTING_TABNAME	Sohbet Adý
CHATTING_SETTING_TALKING	Genel
CHATTING_SETTING_TITLE	Sohbet Seçenekleri
CHAT_ALL	Genel
CHAT_DICE_INFO	Atýþ
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Sunucu
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHEST_TOOLTIP_TEXT	ýçeriðe Bak
COMBAT_ZONE_CURRENT_REAL_POINTS	Savaþ Puaný: %d
COMBAT_ZONE_LIMIT_SHOP_POINTS	Günlük limit: %d/ %d
COMBAT_ZONE_SHOP_EXCEED_LIMIT_TODAY	Puan kullanmak için günlük limitinizi zaten aþtýnýz.
COMBAT_ZONE_SHOP_NOT_ENOUGH_BATTLE_POINT	Yeterli savaþ puanýnýz yok.
COMBAT_ZONE_SHOP_OVERFLOW_LIMIT_TODAY	Mevcut limit + öðenin fiyatý maksimum limiti aþýyor.
COMBAT_ZONE_TOOLTIP_BATTLE_POTION	muharebe bölgesi savaþ iksiri	SNA
CONNECT_ACCOUNT	Baðlan
COSTUME_SLOT_CARCAJ	Ok Titreme
COSTUME_SLOT_COSTUME_ARMOR	Kýyafeti
COSTUME_SLOT_COSTUME_HAIR	Saç Modeli
COSTUME_SLOT_COSTUME_SASH	Dýþ Görünümü Çaldý
COSTUME_SLOT_COSTUME_WEAPON	Silah Görünümü
COSTUME_SLOT_EFECT_WEAPON	Silah Etkisi
COSTUME_SLOT_EFECT_ARMOR	Zýrh Etkisi
COSTUME_SLOT_MOUNT	Bineði
COSTUME_SLOT_PET_OFICIAL	Büyüyen Pet
COSTUME_SLOT_PET	Normal Evcil Hayvan
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalý.
CREATE_EXIST_SAME_NAME	Bu ismi zaten baþka bir karakter kullanýyor.
CREATE_FAILURE	Karakteri yaratamazsýn.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ýsmi gir.
DAY	g
DECEMBER	Aralýk
DELETE_ACCOUNT	Sil
DETAILS_1	Kuvvet c. yarý insan
DETAILS_12	Saldýrý deðeri
DETAILS_13	Savunma Deðeri
DETAILS_14	Orta Hasar
DETAILS_15	Orta Hasarlý Res
DETAILS_16	Yetenek Hasarý
DETAILS_17	Direnç. beceri hasarý
DETAILS_2	Yarý insanlara Res.
DETAILS_20	Kritik Vuruþ Þansý
DETAILS_21	Delici Darbe
DETAILS_22	Kritik Vuruþ Çözünürlüðü
DETAILS_23	Mükemmel isabet res.
DETAILS_3	Orklara Karþý Güç
DETAILS_36	Kuvvet c. savaþçýlar
DETAILS_37	Ninjalara Karþý Güç
DETAILS_38	Surelere Karþý Güç
DETAILS_39	Mukavemet c. þamanlar
DETAILS_4	Kuvvet c. Ölü yaþayan
DETAILS_40	Mukavemet c. likanlar
DETAILS_41	Savunma c. savaþçýlar
DETAILS_42	Savunma c. Ninjalar
DETAILS_43	Surelere Karþý Savunma
DETAILS_44	Savunma c. þamanlar
DETAILS_46	Savunma c. Kýlýçlar
DETAILS_47	Savunma c. iki el
DETAILS_48	Hançerlere karþý savunma
DETAILS_5	Mukavemet c. canavarlar
DETAILS_50	Savunma c. çanlar
DETAILS_51	Savunma c. hayranlar
DETAILS_52	Savunma c. oklar
DETAILS_53	Bayýlma olasýlýðý
DETAILS_54	Gecikme olasýlýðý
DETAILS_55	Olasý Zehirlenme
DETAILS_56	Zehir Direnci
DETAILS_59	Can Çalma
DETAILS_6	Kuvvet c. Pzt. zodyak
DETAILS_60	SP Çalma
DETAILS_61	HP Geri Yükleme
DETAILS_62	SP Geri Yükleme
DETAILS_63	Saldýrýyý engelle
DETAILS_64	Ok Kaçýnma
DETAILS_65	Yansýtma. cpo. cpo'ya
DETAILS_66	Geri Yükle öldürmede HP
DETAILS_67	Geri Yükle öldürmede SP
DETAILS_68	Ekstra % HP
DETAILS_69	Bonus % SP
DETAILS_7	Mukavemet c. hayvanlar
DETAILS_72	Savunma
DETAILS_73	Çift XP
DETAILS_74	Çift Kýç
DETAILS_75	Çift Yang
DETAILS_76	Büyü Direnci
DETAILS_78	Bonus Deneyimi
DETAILS_79	bonus Yang
DETAILS_8	Mukavemet c. ezoterik
DETAILS_80	bonus Düþüþ
DETAILS_81	Bonus STR
DETAILS_82	Bonus HP
DETAILS_83	Bonus INT
DETAILS_84	Bonus DEX
DETAILS_85	Maks. hp
DETAILS_86	Maks. SP
DETAILS_87	Vel. Felç
DETAILS_88	Hýz Hecelemek
DETAILS_89	Vel. Hareket
DETAILS_9	Mukavemet c. þeytanlar
DEVILTOWER	Þeytan Kulesi
DOUBLE_BOSS_LOOT_EVENT	Çift Boss Ganimet
DOUBLE_METIN_LOOT_EVENT	Çift Metin Ganimet
DOUBLE_MISSION_BOOK_EVENT	Drop Kitap Ganimetleri
DO_YOU_BUY_ITEM1	%s için %s satýn almak istiyor musunuz?
DO_YOU_BUY_ITEM2	%s %s için %s satýn almak istiyor musunuz?
DO_YOU_DROP_MONEY	%d Yang býrakmak istiyor musunuz?
DO_YOU_SELL_ITEM1	%s için %s satmak istiyor musunuz?
DO_YOU_SELL_ITEM2	%s %s'i %s karþýlýðýnda satmak istiyor musunuz?
DO_YOU_WANT_CREATE_SHOP	%s yang için bir dükkan açmak ister misiniz?
DO_YOU_WANT_GET_BACK_ITEM	%s öðesini maðazadan kaldýrmak istiyor musunuz?
DO_YOU_WANT_OPEN_SLOT	Kilit açma yuvasý
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taþý arýndýrýlamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taþý en yüksek seviyeye ulaþtý bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taþýný tekrar çýkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiþ ejderha taþý
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlýþ ejderha taþý.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taþý deðil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doðru ejderha taþý deðil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arýndýrma için yeterli malzemen yok.
DRAGON_SOUL_STEP_LEVEL1	Saflýk: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflýk: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflýk: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflýk: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflýk: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taþý kýrýlabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlýþ boþluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha taþý simyasýný henüz kullanamazsýn.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eþyayý býrakamazsýn.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtýðýn sürece nesne düþüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang býrakabilirsin.
DUNGEONINFO_CANENTER	Mevcut
DUNGEONINFO_CANTENTER	Düþük Seviye
DUNGEONINFO_COMPLETE	Tamamlandý:
DUNGEONINFO_COOLDOWN	Soðuma Süresi:
DUNGEONINFO_GROUP	Gerekli grup:
DUNGEONINFO_LEVELRANGE	Seviye:
DUNGEONINFO_MAX_DMG	Maksimum Hasar:
DUNGEONINFO_MIN_TIME	Kayýt süresi:
DUNGEONINFO_NO	Hayýr
DUNGEONINFO_STATISTICS	Ýstatistikler
DUNGEONINFO_TICKET	Geçiþi:
DUNGEONINFO_TITLE	Zindan Bilgileri
DUNGEONINFO_WARP	Giriþe ýþýnlanmak istiyor musunuz?
DUNGEONINFO_YES	Evet
DUNGEONTIMER_FLOOR	%d.Kat
DUNGEONTIMER_WAVE	%d.Wave
DUNGEON_COOLDOWN_EVENT	Zindan Dolum Süresi
DUNGEON_INFO_TELEPORT	Iþýnlanma
DUNGEON_TICKET_LOOT_EVENT	Ritual of Blood Event (F11)
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - x10 ekle
EMOJI_CHARACTER_STATS_DELETE	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - x10 çýkar
EMOTION_ANGRY	Can Sýkýcý
EMOTION_ATTRACTIVE	Baþtan Çýkarma
EMOTION_BANTER	Küçümseme
EMOTION_CHEERS_1	Hoþça Kal 1
EMOTION_CHEERS_2	Hoþça Kal 2
EMOTION_CHEERUP	Alkýþ
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkýþlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransýz öpücüðü
EMOTION_JOY	Neþe
EMOTION_SAD	Üzgün
EMOTION_SHY	Reddetme
EMOTION_SLAP	Çak
EMPIRE_A	Shinsoo Krallýðý
EMPIRE_B	Chunjo Krallýðý
EMPIRE_C	Jinno Krallýðý
EMPIRE_WAR_EVENT	Leinos Savaþý (Sv %d - Sv %d)
EVENT_CALENDAR_TITLE	Etkinlik Takvimi: %s
EVENT_COLORFULL_TEXT	|cFF84A5B%s|h|r
EVENT_DURATION	Süre:
EVENT_END_AT	Bitiþ tarihi:
EVENT_MANAGER_WINDOW_TITLE	Etkinlik Takvimi: %s - %d - Server Time
EVENT_MONTH_1	Ocak
EVENT_MONTH_2	Þubat
EVENT_MONTH_3	Mart
EVENT_MONTH_4	Nisan
EVENT_MONTH_5	Mayýs
EVENT_MONTH_6	Haziran
EVENT_MONTH_7	Temmuz
EVENT_MONTH_8	Aðustos
EVENT_MONTH_9	Eylül
EVENT_MONTH_10	Ekim
EVENT_MONTH_11	Kasým
EVENT_MONTH_12	Aralýk
EVENT_START_AT	Þu saatte baþlar:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Bu gün etkinlik yok.
EVENT_TOOLTIP_TITLE	%s Günü:
EXCHANGE_CANNOT_GIVE	Bu nesneyi alýþveriþte kullanamazsýn.
EXCHANGE_CANT_EDIT_MONEY	Toplamý þu anda deðiþtiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eþyayý takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s (%d) ile alýþveriþ
EXP_EVENT	Deneyim Etkinliði: %d%%
FEBRUARY	Þubat
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takýlmýþ gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takýlmýþ gibi görünüyor.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	Suda %s tuttun!
FISHING_UNKNOWN	Oltaya birþey takýldý ama ne olduðu belli deðil.
FISHING_WRONG_PLACE	Burada balýk tutamazsýn.
FLAMEDUNGEON	Razador
FOR_FEMALE	kadýn için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsýn.
GAME_CANNOT_PICK_ITEM	Kazanmadýðýn için bu nesneyi toplayamazsýn.
GAME_INIT_ERROR_CURSOR	imleç tanýmlanamadý.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olmasý gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartý bulunamadý.\nEðer mevcutsa, VGA kart sürücünüzün doðru yüklenmiþ olup olmadýðýný kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartý kurulamadý. \n Eðer VGA kartýnýz varsa kontrol edin. \n Alternatif olarak, donaným hýzlandýrýcýnýzý aktif edebilirsiniz. \n (Donaným Hýzlandýrýcýnýzý maximuma ayarlayýn \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarýnýzdaki grafik kartý Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneðini kullanýnýz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapý oluþturulamýyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Baðlantý kurulamýyor.\ninternet baðlantýnýzý kontrol ediniz.
GAME_PICK_EXP	%d deneyim kazandýnýz.
GAME_PICK_MONEY	%s Kazandýn.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel deðil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel deðil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel deðil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Geniþlik 64 Pixel deðil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taþý.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasý seçilmedi.
GUILDWAR_CTF_TITLE	Bayrak Savaþý
GUILDWAR_NORMAL_TITLE	Meydan Savaþý
GUILDWAR_WARP_TITLE	Arena Savaþý
GUILD_BOARD_ID	Üye
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_GRADE	Sýralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiþ durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adý hatalý
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%s Yang kullanarak %d Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	 seni davet ediyor. Loncaya katýlmak istiyor musun?
GUILD_EMPTY_AREA	Boþ alan
GUILD_FACILITY	Ek bina
GUILD_GEM	Deðerli taþ
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boþ
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Üye
GUILD_MEMBER_RANK	Rütbe
