ACCEPT	A accepta
GUILD_WAR_BATTLE_TYPE	Tip de liliac.
GUILD_WAR_CTF	Steag
GUILD_WAR_DECLARE	Declara razboiul de breasla
GUILD_WAR_ENEMY	Dusman
GUILD_WAR_NORMAL	Mediu rural
GUILD_WAR_WARP	Nisip
GUILD_WAR_WIN	Runde
GUILD_WATER	Apa
GUILD_WATER_STONE	Stanca de apa
GUILD_WITHDRAW	Lua
HAIR	Par
HELP_ATTACK	Activeaza un singur atac per clic de mouse.
HELP_ATTACK_KEY	Atac: buton stinga mouse sau space
HELP_CHANGE_PK_MODE	Schimbare mod de atac: schimba setarile butonului stinga de la mouse.
HELP_CHARACTER_BUTTON1	(Fereastra caracter, Fereastra inventar,
HELP_CHARACTER_BUTTON2	Lista prieteni si Optiuni)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Camera Vedere Standard: butonul din mijloc al mouse-ului
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Camera Vedere Alternativa: botonul drept sau stang al mouse-ului
HELP_EXP	Experienta
HELP_FURY	Magazin Obiecte in joc
HELP_GUILD_WINDOW	Pentru a deschide fereastra breslei: ALT + G
HELP_HELP	Ajutor: H
HELP_HP	Puncte de Viata (PV)
HELP_MESSENGER_WINDOW	Deschide lista de prieteni: ALT + M
HELP_MOUSE_LEFT	Functie buton maus stang
HELP_MOUSE_RIGHT	Functie buton maus drept
HELP_MOVE_KEY	Panou control: W, A, S, D sau sagetile de pe tastatura
HELP_OPEN_CHARACTER	Pentru a deschide fereastra caracterului: C
HELP_OPEN_CHAT	Pentru a deschide fereastra de chat: Enter
HELP_OPEN_INVENTORY	Pentru a deschide inventarul: I
HELP_OPEN_LOG	Pentru a deschide logul de chat: L
HELP_OPEN_MINIMAP	Pentru a deschide mini-harta: SHIFT + M
HELP_OPEN_QUEST	Pentru a deschide fereastra cu sarcini: N
HELP_OPEN_SKILL	Pentru a deschide fereastra pentru aptitudini: V
HELP_OPEN_WHISPER	Pentru a deschide fereastra pentru soapta: SHIFT + ENTER
HELP_OPEN_ZONEMAP	Pentru a deschide harta mare: M
HELP_PICK_ITEM	Aduna Obiectele: `sau Z sau butonul stang al mouse-ului
HELP_QUICKSLOT	Camp acces rapid
HELP_SCREEN_CAPTURE	Pentru a salva screenshoturile: Print (se va salva in "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Afiseaza nume: ALT
HELP_SP	Puncte de mana (PM)
HELP_SYSTEM_BUTTON	Taste Sistem
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. inventar
INVENTORY_SEPARATE	Ordonat
INVENTORY_TITLE	Inventar
INVENTORY_UNLOCK	Doriti sa utilizati extensii de inventar %d pentru a -l debloca?
ITEM_MALL	Magazin de obiecte
KEYCHANGE_AUTO_WINDOW	Atac-Automat
KEYCHANGE_MONSTER_CARD_WINDOW	Card monstru
KW_TIME	%d min (e) a ramas
LOAD_ERROR	Fisierul cu date este stricat. Instaleaza dinnou clientul. Apasa acum tasta ESC.
LOGIN_CONNECT	Conecteaza
LOGIN_CONNECTING	Conectarea la server ruleaza.
LOGIN_DEFAULT_SERVERADDR	Nume server, Canal 1
LOGIN_EXIT	Inchide
LOGIN_SELECT_BUTTON	Alege
LOGIN_SELECT_EXIT	Inchide
LOGIN_SELECT_TITLE	Alege server
MALL_PASSWORD_TITLE	Parola
MALL_TITLE	Depozit Magazin Obiecte
MARKLIST_REFRESH	Actualizeaza
MARKLIST_TITLE	Inregistreaza simbolul breslei
MESSAGE	Acesta este un mesaj
MESSENGER_ADD_FRIEND	Adauga prieten
MESSENGER_DELETE_FRIEND	Sterge
MESSENGER_MOBILE	Trimite SMS
MESSENGER_OPEN_GUILD	Deschide fereastra breslei
MESSENGER_TITLE	Prieteni
MESSENGER_WHISPER	Soapta
MINIMIZE	Minimizati
MOUSEBUTTON_ATTACK	Ataca
MOUSEBUTTON_AUTO_ATTACK	Ataca automat
MOUSEBUTTON_CAMERA	Camera
MOUSEBUTTON_SKILL	Abilitati
MUSICLIST_TITLE	Alege muzica
NO	Nu
OC	Optiunea critica
OFFLINE_SHOP_TITLE	Offline Shop
OK	Ok
OPTION_ALWAYS_SHOW_NAME	Nume
OPTION_ALWAYS_SHOW_NAME_OFF	limitat
OPTION_ALWAYS_SHOW_NAME_ON	Totdeauna
OPTION_BLOCK	Blocheaza
OPTION_BLOCK_EXCHANGE	Negociaza
OPTION_BLOCK_FRIEND	Prieteni
OPTION_BLOCK_GUILD	Alianta
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Cerere
OPTION_BLOCK_WHISPER	Soapta
OPTION_CAMERA_DISTANCE	Camera
OPTION_CAMERA_DISTANCE_LONG	Departe
OPTION_CAMERA_DISTANCE_SHORT	Aproape
OPTION_COLLECT_EQUIP	Filtru de pick auto
OPTION_DELETE_MOBILE_BUTTON	Sterge numarul de mobil
OPTION_EFFECT	Info lovituri
OPTION_FOG	Ceata
OPTION_FOG_DENSE	Multa
OPTION_FOG_LIGHT	Putina
OPTION_FOG_MIDDLE	Medie
OPTION_INPUT_MOBILE_BUTTON	Introduceti numarul de telefon mobil
OPTION_MOBILE	Telefon mobil
OPTION_MOB_INFO	Info Mob
OPTION_MOB_INFO_AGGR	Agresiv
OPTION_MOB_INFO_LEVEL	Nivel
OPTION_MUSIC	Muzica
OPTION_MUSIC_CHANGE	Schimba
OPTION_MUSIC_DEFAULT_THEMA	Muzica standard Vidra
OPTION_NAME_COLOR	Culoare la nume
OPTION_NAME_COLOR_EMPIRE	Culoare regat
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Noapte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_OUTLINE_INFO	Contur
OPTION_OUTLINE_OFF	Off
OPTION_OUTLINE_ON	On
OPTION_PVPMODE	Mod PvP
OPTION_PVPMODE_FREE	Liber
OPTION_PVPMODE_FREE_TOOLTIP	Poti ataca toti jucatorii.
OPTION_PVPMODE_GUILD	Alianta
OPTION_PVPMODE_GUILD_TOOLTIP	Poti ataca toti jucatorii cu exceptia membrilor breslei.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Nu poti ataca jucatori ai regatului tau.
OPTION_PVPMODE_REVENGE	Inamic
OPTION_PVPMODE_REVENGE_TOOLTIP	Poti ataca doar jucatori de alt etos
OPTION_SALESTEXT	Nume la Magazin
OPTION_SALESTEXT_RANGE	Gama de nume de magazin
OPTION_SALESTEXT_VIEW_OFF	Off
OPTION_SALESTEXT_VIEW_ON	On
OPTION_SNOW_MODE	Ninsoare
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Zapada
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efecte
OPTION_TARGET_BOARD	Meniu obiecte
OPTION_TARGET_BOARD_NO_VIEW	Off
OPTION_TARGET_BOARD_VIEW	On
OPTION_TILING	Grafica
OPTION_TILING_APPLY	Aplica
OPTION_TILING_CPU	Cpu
OPTION_TILING_GPU	Gpu
OPTION_TITLE	Optiuni
OPTION_VIEW_CHAT	Chat
OPTION_VIEW_CHAT_OFF	Off
OPTION_VIEW_CHAT_ON	On
PARTY_MEMBER_INFO_NAME	Nume membru grupa
PASSWORD_DESC_1	Introdu parola
PASSWORD_DESC_2	pentru a deschide depozitul.
PASSWORD_DESC_3	Ai schimbat parola deja?
PASSWORD_DESC_4	Daca nu, parola ta va fi '000000'.
PASSWORD_DESC_5	Schimba parola la depozit.
PASSWORD_TITLE	Salvare parola
PET_SYSTEM_1	Incubator
PET_SYSTEM_10	Prima
PET_SYSTEM_11	Hp
PET_SYSTEM_12	Aparare
PET_SYSTEM_13	Sp
PET_SYSTEM_14	Capacitate
PET_SYSTEM_15	Hp reprogramat:
PET_SYSTEM_16	Invincibil de
PET_SYSTEM_17	Rece:
PET_SYSTEM_18	Zile
PET_SYSTEM_19	Ore
PET_SYSTEM_2	A hrani
PET_SYSTEM_20	Experienta
PET_SYSTEM_3	Hrani
PET_SYSTEM_4	Nivel
PET_SYSTEM_5	Experienta
PET_SYSTEM_6	Varsta
PET_SYSTEM_7	Durata
PET_SYSTEM_8	In curs de dezvoltare
PET_SYSTEM_9	Articol exp
PICK_MONEY_TITLE	Imparte
PRIVATESHOPSEARCH_COUNT	Cantitate
PRIVATESHOPSEARCH_ITEMNAME	Nume
PRIVATESHOPSEARCH_SEARCH	Cautare
PRIVATESHOPSEARCH_SEARCH_BAR	Cautare
PRIVATESHOPSEARCH_SELLER	Vanzator
PRIVATE_SHOP_CLOSE_BUTTON	Inchideti magazinul
PRIVATE_SHOP_NAME	Nume Magazin
PRIVATE_SHOP_TITLE	Offline Shop
REFINE_COST	Costuri de imbunatatire: 0 yang
REFINE_ELEMENT_CHANGE_COST_TITLE	Cost
REFINE_ELEMENT_CHANGE_DARK	Intuneric
REFINE_ELEMENT_CHANGE_EARTH	Teren
REFINE_ELEMENT_CHANGE_ELECT	Fulger
REFINE_ELEMENT_CHANGE_FIRE	Foc
REFINE_ELEMENT_CHANGE_ICE	Gheata
REFINE_ELEMENT_CHANGE_TITLE	Element de schimbare
REFINE_ELEMENT_CHANGE_WIND	Vant
REFINE_ELEMENT_UPGRADE_TITLE	Imbunatatire a calitatii
REFINE_INFO	Sansa de upgrade reusit: 100%
REFINE_TTILE	Imbunatatiri
RESTART_HERE	Restarteaza aici
RESTART_IMMEDIATE	Reincarnare
RESTART_TOWN	Restarteaza in oras
RF	Rezistenta fizica
SAFE_CHANGE_PASSWORD	Schimba parola
SAFE_TITLE	Depozit
SASH_ABSORB	Absorbtie bonus
SASH_COMBINE	Combinati Esarfa
SASH_MAIN	Esarfa 1
SASH_RESULT	Rezultat
SASH_SERVE	Esarfa 2
SELECT_ATT_GRADE	STR
SELECT_CREATE	Creeaza
SELECT_DELETE	Sterge
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Numele regatului
SELECT_EXIT	Iesire
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Selecteaza Piatra Spiritului
SELECT_NAME	Nume
SELECT_NO_GUILD	Fara breasla
SELECT_PLAYTIME	Timp Jucat
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Alege titlu
SELECT_YES_GUILD	Nume breasla: %s
SHOP_BUY	Cumpara
SHOP_CHANGE_NAME	Redenumire
SHOP_CHANGE_PRICE	Schimbarea pretului
SHOP_CLOSE	Inchideti magazinul
SHOP_CLOSE_QUEST	Cu siguranta doriti sa inchideti magazinul „%s”?
SHOP_CREATE	Magazin deschis
SHOP_CREATE_DAY	Zi
SHOP_CREATE_DAYS	Zi
SHOP_CREATE_HOUR	Timp
SHOP_CREATE_HOURS	Ore
SHOP_CREATE_NORMAL	Magazin normal
SHOP_CREATE_PRICE	Pret:
SHOP_EARNED_YANG	Bani obtinuti:
SHOP_EDIT	Editati | ×
SHOP_EDIT_SHOP_CANCEL	Anulati editia
SHOP_EDIT_SHOP_WINDOW	Editia magazinului
SHOP_ENTER_NEW_NAME	Scrieti noul nume
SHOP_GET_YANG	Scoateti yang -ul
SHOP_INFORMATION	Informatii de stocare
SHOP_MANAGE	Administra
SHOP_NAME	Numele magazinului
SHOP_NAME_EMPTY	Scrieti numele magazinului
SHOP_NOT_EARNED_YANG	Magazinul dvs. nu castiga bani!
SHOP_OPEN	Creati magazin
SHOP_REMOVE_ITEM	Retrage obiectul
SHOP_REMOVE_ITEM_QUEST	Cu siguranta doriti sa eliminati obiectul?
SHOP_REST_ITEMS	Alte obiecte:
SHOP_SEARCH_NAME	Nume
SHOP_SEARCH_PRICE	Pret
SHOP_SEARCH_RESET	Curat
SHOP_SEARCH_SEND	Cauta
SHOP_SEARCH_TITLE	Cauta Obiecte
SHOP_SELECT	A selecta
SHOP_SELL	Vinde
SHOP_SOLD_ITEMS	Obiecte vandute:
SHOP_TIMEOUT	Timp
SHOP_TIMEOUT_EMPTY	Timp de stocare
SHOP_TIME_TO_CLOSE	Timp de stocare:
SHOP_TITLE	Magazin
SHOP_WINDOW_NAME	Magazinele tale
SHOP_YANG_QUEST	Cu siguranta doriti sa obtineti %s din magazinul „ %s”?
SKILL_SUPPORT_TITLE	Abilitati standard
SORT_QUESTION	Cu siguranta doriti sa stivati toate articolele?
SPECIAL_STORAGE	Depozit special
STEP	Grad de claritate
STEP_SELECT	Grad de claritate
STORAGE_0	Inventar
STORAGE_1	Materiale
STORAGE_2	Carti
STORAGE_3	Pietre
STORAGE_4	Schimbari
STORAGE_5	Costume
STORAGE_6	Cufere
STORAGE_7	Stoc
STORAGE_8	Depozit
STRENGTH	Intarire
STRENGTH_SELECT	Nivel
SWITCHBOT_1	Activ
SWITCHBOT_10	Inchideti fila
SWITCHBOT_12	Acest slot a fost deja folosit!
SWITCHBOT_13	Articol adaugat!
SWITCHBOT_14	Conditie
SWITCHBOT_15	Maximizati
SWITCHBOT_16	Minimizati
SWITCHBOT_17	Trageti elementul aici
SWITCHBOT_2	Schimbare
SWITCHBOT_3	Avand
SWITCHBOT_4	Activati
SWITCHBOT_5	Terminat
SWITCHBOT_7	Incepeti sa schimbati
SWITCHBOT_8	Nici unul
SWITCHBOT_9	Nu puteti schimba bonusul acestui obiect
SWITCHBOT_TITLE	Swtichbot
SWITCH_CHANNEL	Schimbati canalul
SYSTEMOPTION_TITLE	Optiuni sistem
SYSTEM_CHANGE	Schimba caracterul
SYSTEM_CHANGE_CHANNEL	Schimba canalul
SYSTEM_EXIT	Iesire joc
SYSTEM_HELP	Ajutor
SYSTEM_LOGOUT	Log out
SYSTEM_MALL	Magazin de obiecte
SYSTEM_OPTION	Optiuni de sistem
SkillTitle	Aptitudini
TASKBAR_CHARACTER	Caracter[C/V/B/N]
TASKBAR_DISABLE	Dezactivat
TASKBAR_DRAGON_SOUL	Alchimie Piatra Dragon
TASKBAR_EXPAND	Extinde Fereastra
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Prieteni [ALT + M]
TASKBAR_MONEY_EXPAND	Bani
TASKBAR_NEXT_QUICKSLOT	Urmatorul camp de acces rapid [Shift+Numar, Alt]
TASKBAR_PREV_QUICKSLOT	Ultimul camp de acces rapid [Shift+Numar]
TASKBAR_SYSTEM	Optiuni[ESC]
TOTAL_RANKING	Clasament general
UPGRADE	Pastrati fereastra deschisa
UPGRADE_STORAGE_TITLE	Panou
VCOINS	Gems
WEAPON	Arma
WEEKLY_RANKING	Clasament saptamanal
WHISPER_BAN	Blocheaza
WHISPER_NAME	Sopteste
WHISPER_REPORT	report
WHISPER_SEND	Trimite
WeaponTitle	Costume
YES	Da
ZONE_MAP	Harta mare
OPTION_FOV	Perspective
CHEST_DROP_OPEN	Deschide
GRAPHICONOFF_EFFECT_LEVEL	Efect
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Arata toate
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Doar efectele tale si ale monstrilor
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Doar efectele tale si ale jucatorilor
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Doar efectele tale
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Ascunde toate
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Magazine
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Arata toate
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Afiseaza pe Raza mare
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Afiseaza pe Raza medie
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Afiseaza pe Raza mica
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Ascunde toate
GRAPHICONOFF_DROP_ITEM_LEVEL	Drop de Obiecte
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Arata toate
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Ascunde efectul
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Ascunde efectul si numele
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Ascunde efectul, si arata numele
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Ascunde tot
GRAPHICONOFF_PET_STATUS	Pets
GRAPHICONOFF_PET_STATUS_OFF	Off
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Ascunde pets
GRAPHICONOFF_PET_STATUS_ON	On
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Arta pets
GRAPHICONOFF_MOUNT_STATUS	Mounturi
GRAPHICONOFF_MOUNT_STATUS_OFF	Off
GRAPHICONOFF_MOUNT_STATUS_OFF_TOOLTIP	Ascunde mounturile
GRAPHICONOFF_MOUNT_STATUS_ON	On
GRAPHICONOFF_MOUNT_STATUS_ON_TOOLTIP	Arata mounturile
GRAPHICONOFF_NPC_NAME_STATUS	Nume la NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Off
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Ascunde
GRAPHICONOFF_NPC_NAME_STATUS_ON	On
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Arata
OPTION_WINDOWS_MESSAGE	Windows Notification
CZ_REWARD_WINDOW_TITLE	Zodiac Temple
AUTOMATIC_PCIK_UP_SHIELD	Scut
AUTOMATIC_PCIK_UP_RING	Inele
AUTOMATIC_PCIK_UP_HELMETS	Casca
AUTOMATIC_PCIK_UP_BRACELETS	Bratara
AUTOMATIC_PCIK_UP_NECKLACE	Colier
AUTOMATIC_PCIK_UP_EARRINGS	Cercei
AUTOMATIC_PCIK_UP_COSTUME	Costume
