AFF_LOVE_POINT	Punto amore: %d%%
CHATTING_SETTING_LANGUAGE_ON	ON	
CHATTING_SETTING_LANGUAGE_ONOFF	Filtro	
CHATTING_SETTING_LIST	Pronto	
CHATTING_SETTING_NOTICE	Messaggio	
CHATTING_SETTING_PARTY	Gruppo	
CHATTING_SETTING_SAVE	Salva	
CHATTING_SETTING_SAVE_QUESTION	Vuoi salvare i seguenti cambiamenti %s?	
CHATTING_SETTING_SHOUT	Regno chat	
CHATTING_SETTING_SYSTEM	Sistema	
CHATTING_SETTING_TABNAME	Nome Chat	
CHATTING_SETTING_TALKING	Generale	
CHATTING_SETTING_TITLE	Opzioni Chat	
CHAT_ALL	Tutti
CHAT_DICE_INFO	Gettare
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Server
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHEST_TOOLTIP_TEXT	Visione del forziere	
COMBAT_ZONE_CURRENT_REAL_POINTS	Punti combattimento: %d	
COMBAT_ZONE_LIMIT_SHOP_POINTS	Giorno limite: %d/ %d	
COMBAT_ZONE_SHOP_EXCEED_LIMIT_TODAY	Hai già superato il tuo limite giornaliero per utilizzare i punti.	
COMBAT_ZONE_SHOP_NOT_ENOUGH_BATTLE_POINT	Non hai abbastanza punti combattimento.	
COMBAT_ZONE_SHOP_OVERFLOW_LIMIT_TODAY	Il limite attuale + il prezzo dell'articolo superano il limite massimo.	
COMBAT_ZONE_TOOLTIP_BATTLE_POTION	Pozione da battaglia della zona di combattimento	SNA
CONNECT_ACCOUNT	Connesso
COSTUME_SLOT_CARCAJ	Freccia faretra	
COSTUME_SLOT_COSTUME_ARMOR	Costume	
COSTUME_SLOT_COSTUME_HAIR	Capigliatura	
COSTUME_SLOT_COSTUME_SASH	Skin Stola	
COSTUME_SLOT_COSTUME_WEAPON	Skin Arma	
COSTUME_SLOT_EFECT_ARMOR	Effetto Armatura	
COSTUME_SLOT_EFECT_WEAPON	Effetto Arma	
COSTUME_SLOT_MOUNT	Cavalcatura	
COSTUME_SLOT_PET	Pet Normale	
COSTUME_SLOT_PET_OFICIAL	Pet Livellabile	
CREATE_ERROR_GM_NAME	Non ti è permesso usare 'GM' nel nome del tuo personaggio.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
DAY	Giorni	
DECEMBER	Dicembre	
DELETE_ACCOUNT	Cancella
DETAILS_1	Forte vs Mezziuomini
DETAILS_12	Valore d'attacco
DETAILS_13	Valore di difesa
DETAILS_14	Danni medio
DETAILS_15	Res. danno medio
DETAILS_16	Danni abilità
DETAILS_17	Resistenza danni abilità
DETAILS_2	Res. vs Mezziuomini
DETAILS_20	Prob. colpi critici
DETAILS_21	Colpo trafiggente
DETAILS_22	Res. colpi critici
DETAILS_23	Res. colpi trafigg.
DETAILS_3	Forte vs orchi
DETAILS_36	Forte vs guerrieri
DETAILS_37	Forte vs ninja
DETAILS_38	Forte vs sura
DETAILS_39	Forte vs shamani
DETAILS_4	Forte vs zombie
DETAILS_41	Difesa dai guerrieri
DETAILS_42	Difesa dai ninja
DETAILS_43	Difesa dai sura
DETAILS_44	Dif. dagli shamani
DETAILS_46	Difesa spada
DETAILS_47	Difesa spadone
DETAILS_48	Difesa pugnale
DETAILS_5	Forte vs mostri
DETAILS_50	Difesa campana
DETAILS_51	Difesa ventaglio
DETAILS_52	Difesa freccia
DETAILS_53	Prob. svenimento
DETAILS_54	Prob. rallentamento
DETAILS_55	Prob. avvelenamento
DETAILS_56	Res. avvelenamento
DETAILS_57	Attacco sanguinante
DETAILS_58	Res. attacco sang.
DETAILS_59	Furto HP
DETAILS_6	Forte vs mostri Zod.
DETAILS_60	Furto MP
DETAILS_61	Ripristino HP
DETAILS_62	Ripristino MP
DETAILS_63	Blocca attacco
DETAILS_64	Schiva frecce
DETAILS_65	Rifless. att. corp.
DETAILS_66	Ripr. HP (uccisione)
DETAILS_67	Ripr. MP (uccisione)
DETAILS_68	EXP doppia
DETAILS_69	Yang doppi
DETAILS_7	Forte vs animali
DETAILS_72	Difesa
DETAILS_73	EXP
DETAILS_74	Prob. di drop
DETAILS_75	Yang doppi
DETAILS_76	Resistenza magia
DETAILS_77	Anti-magia
DETAILS_78	Resistenza vs mostri
DETAILS_79	Bonus attacco magico
DETAILS_8	Forte vs esoterici
DETAILS_80	% Drop Bonus	
DETAILS_81	Bonus Str	
DETAILS_82	Bonus vit	
DETAILS_83	Bonus int	
DETAILS_84	Bonus Dex	
DETAILS_85	Max. HP	
DETAILS_86	Max. Mp	
DETAILS_87	Vel. Attacco	
DETAILS_88	Vel. Magia	
DETAILS_89	Vel. Movimento	
DETAILS_9	Forte vs diavolo
DEVILTOWER	Torre dei demoni	
DOUBLE_BOSS_LOOT_EVENT	Doppio drop boss	
DOUBLE_METIN_LOOT_EVENT	Doppio drop metin	
DOUBLE_MISSION_BOOK_EVENT	Drop libri delle missioni	
DO_YOU_BUY_ITEM1	Vuoi acquistare %s per %s Yang?
DO_YOU_BUY_ITEM2	Vuoi acquistare %s (%s unità) per %s Yang?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Vuoi vendere %s per %s Yang?
DO_YOU_SELL_ITEM2	Vuoi vendere %s (%s unità) per %s Yang?
DO_YOU_WANT_CREATE_SHOP	Vuoi aprire lo shop per %s yang?	
DO_YOU_WANT_GET_BACK_ITEM	Rimuovi %s dallo shop?	
DO_YOU_WANT_OPEN_SLOT	Slot sbloccato	
DRAGON_SOUL_CANNOT_REFINE	Non puoi raffinare questa Pietra del Drago.
DRAGON_SOUL_CANNOT_REFINE_MORE	Questa Pietra del Drago ha già raggiunto il livello più alto.
DRAGON_SOUL_EQUIP_WARNING1	È difficile eliminare nuovamente una Pietra del Drago.
DRAGON_SOUL_EQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_EXPIRED	Pietra del Drago scaduta
DRAGON_SOUL_INVALID_DRAGON_SOUL	È la Pietra del Drago sbagliata.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Questa non è una Pietra del Drago.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Non è la giusta Pietra del Drago.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per il raffinamento.
DRAGON_SOUL_STEP_LEVEL1	Purezza: opaco,
DRAGON_SOUL_STEP_LEVEL2	Purezza: chiaro,
DRAGON_SOUL_STEP_LEVEL3	Purezza: limpido,
DRAGON_SOUL_STEP_LEVEL4	Purezza: brillante,
DRAGON_SOUL_STEP_LEVEL5	Purezza: eccellente,
DRAGON_SOUL_STRENGTH	Livello: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La Pietra del Drago potrebbe distruggersi in questo processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_UNMATCHED_SLOT	Questo è lo slot sbagliato.
DRAGON_SOUL_UNQUALIFIED	Non puoi ancora utilizzare l'alchimia delle Pietre del drago.
DROP_ITEM_FAILURE_EQUIP_ITEM	Non puoi lasciar cadere un oggetto che è in uso.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Non puoi lasciar cadere un oggetto se hai un negozio privato aperto.
DROP_MONEY_FAILURE_1000_OVER	Puoi lasciar cadere massimo 999 Yang.
DUNGEONINFO_CANENTER	Disponibile	
DUNGEONINFO_CANTENTER	Livello basso	
DUNGEONINFO_COMPLETE	Completato:	
DUNGEONINFO_COOLDOWN	Cooldown:	
DUNGEONINFO_GROUP	Gruppo:	
DUNGEONINFO_LEVELRANGE	Livello:	
DUNGEONINFO_MAX_DMG	Massimo danno:	
DUNGEONINFO_MIN_TIME	Tempo registrato:	
DUNGEONINFO_NO	Non necessario	
DUNGEONINFO_STATISTICS	Statistiche	
DUNGEONINFO_TICKET	Chiave Dungeon:	
DUNGEONINFO_TITLE	Informazioni Dungeon	
DUNGEONINFO_WARP	Vuoi teletrasportarti all'ingresso?	
DUNGEONINFO_YES	Si	
DUNGEONTIMER_FLOOR	%d.Flor	
DUNGEONTIMER_WAVE	%d.Wave	
DUNGEON_COOLDOWN_EVENT	Dungeon Cooldown	
DUNGEON_INFO_TELEPORT	Teleport	
DUNGEON_TICKET_LOOT_EVENT	Ritual of Blood Event (F11)	
EMOJI_CHARACTER_STATS_ADD	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - add x10	
EMOJI_CHARACTER_STATS_DELETE	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - subtract x10	
EMOTION_ANGRY	Arrabbiato
EMOTION_ATTRACTIVE	Seduzione
EMOTION_BANTER	Scherzoso
EMOTION_CHEERS_1	Esulto 1
EMOTION_CHEERS_2	Esulto 2
EMOTION_CHEERUP	Gioire
EMOTION_CHOOSE_ONE	Scegli bersaglio.
EMOTION_CLAP	Applauso
EMOTION_CLAP_KISS	Bacio
EMOTION_CONGRATULATION	Approvazione
EMOTION_DANCE_1	Ballare 1
EMOTION_DANCE_2	Ballare 2
EMOTION_DANCE_3	Ballare 3
EMOTION_DANCE_4	Ballare 4
EMOTION_DANCE_5	Ballare 5
EMOTION_DANCE_6	Gumsan Style	
EMOTION_FORGIVE	Perdono
EMOTION_FRENCH_KISS	Bacio con la lingua
EMOTION_JOY	Felicita'
EMOTION_SAD	Triste
EMOTION_SHY	Rifiuto
EMOTION_SLAP	Colpo
EMPIRE_A	Regno Shinsoo	
EMPIRE_B	Regno Chunjo	
EMPIRE_C	Regno Jinno	
EMPIRE_WAR_EVENT	Guerra tra regni (Lv %d - Lv %d)	
EVENT_CALENDAR_TITLE	Calendario Eventi: %s	
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r	
EVENT_DURATION	Durata:	
EVENT_END_AT	Finisce il: 	
EVENT_MANAGER_WINDOW_TITLE	Calendario Eventi: %s - %d	
EVENT_MONTH_1	Gennaio	
EVENT_MONTH_10	Ottobre	
EVENT_MONTH_11	Novembre	
EVENT_MONTH_12	Dicembre	
EVENT_MONTH_2	Febbraio	
EVENT_MONTH_3	Marzo	
EVENT_MONTH_4	Aprile	
EVENT_MONTH_5	Maggio	
EVENT_MONTH_6	Giugno	
EVENT_MONTH_7	Luglio	
EVENT_MONTH_8	Agosto	
EVENT_MONTH_9	Settembre	
EVENT_START_AT	Inizia: 	
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Non ci sono eventi in questo giorno.	
EVENT_TOOLTIP_TITLE	Day %s:	
EXCHANGE_CANNOT_GIVE	Quest'oggetto non è commerciabile.
EXCHANGE_CANT_EDIT_MONEY	Non puoi modificare il prezzo ora.
EXCHANGE_FAILURE_EQUIP_ITEM	Non puoi scambiare gli oggetti in uso.
EXCHANGE_MONEY	Prezzo
EXCHANGE_TITLE	Commercia con %s (%d)
EXP_EVENT	Evento EXP: %d%%	
FEBRUARY	Febbraio	
FISHING_FAILURE	Hai perso l'esca.
FISHING_NOTIFY1	Sembrerebbe che %s abbia abboccato.
FISHING_NOTIFY2	Sembrerebbe che %s sia stato catturato.
FISHING_SUCCESS1	Ne hai catturati %s!
FISHING_SUCCESS2	Hai pescato %s!
FISHING_UNKNOWN	Qualcosa ha abboccato ma non sai cosa sia.
FISHING_WRONG_PLACE	Qui non posso pescare.
FLAMEDUNGEON	Fortezza Del Drago Rosso	
FOR_FEMALE	per femmina	
FOR_MALE	per maschio	
GAME_CANNOT_MINING	Non puoi estrarre minerali mentre sei a cavallo.
GAME_CANNOT_PICK_ITEM	Non puoi raccogliere l'oggetto perchè non lo hai razziato tu.
GAME_GUILDWAR_NOW_JOIN	Vuoi partecipare alla guerra tra gilde?
GAME_INIT_ERROR_CURSOR	Non si è potuto creare la freccia del mouse.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 deve essere installata per poter eseguire il gioco.\nInstalla DirectX 8.1 o maggiore.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Non è stata trovata nessuna scheda grafica compatibile con il gioco.\nControlla che la tua scheda VGA sia installata correttamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Non è stato possibile eseguire la grafica.\nControlla se possiedi una scheda VGA.\nIn alternativa puoi attivare l'accelerazione Hardware \n(Metti l'accelerazione Hardware al massimo \nPannello di controllo->Schermo->Impostazioni->Avanzate->Risoluzione problemi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_PICK_EXP	Hai ricevuto una %di esperienza.	
GAME_PICK_MONEY	Hai ricevuto %s.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDWAR_CTF_TITLE	Battaglia per la bandiera	
GUILDWAR_NORMAL_TITLE	Battaglia campale
GUILDWAR_WARP_TITLE	Campo di battaglia
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_NAME	Nome della costruzione
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'energia dello spirito del drago è completamente rigenerata.v
GUILD_COMMENT	Scrivi
GUILD_CREATE_ERROR_INSULT_NAME	Nome della Gilda non consentito.
GUILD_DEFAULT_GRADE	Membro della Gilda
GUILD_DELETE	Cancella
GUILD_DEPOSIT	Deposita
GUILD_DO_YOU_HEAL_GSP	Desideri spendere %s Yang per rigenerare %d unità di spirito del drago?
GUILD_DO_YOU_JOIN	ti ha invitato. Desideri entrare nella Gilda?
GUILD_EMPTY_AREA	Terra di nessuno
GUILD_FACILITY	Edificio secondario
GUILD_GEM	Pietra preziosa
GUILD_HEADQUARTER	Edificio principale
GUILD_HEAL_GSP	Rigenera lo spirito del drago
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_MARK_NOT_ENOUGH_LEVEL	È richiesto minimo livello 3
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Guerriero
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Rango
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP donati
GUILD_NAME	Nome della Gilda
GUILD_NOT_ENOUGH_MATERIAL	Non possiedi abbastanza materiale per questo edificio.
GUILD_NOT_ENOUGH_MONEY	Non possiedi abbastanza Yang per questo edificio.
GUILD_NO_NOTICE_PERMISSION	Non sei autorizzato a fare un annuncio.
GUILD_OBJECT	Oggetti
GUILD_OFFER_EXP	Esperienza da investire	
GUILD_SHORT_EXP	Non hai abbastanza punti esperienza.	
GUILD_TILE_BASEINFO	Informazioni terreno
GUILD_TILE_BOARD	Appunti della gilda
